Epoch number,number of human population,number of humans killed by zombie,number of humans starved to death,number of zombie population,number of zombies killed by humans
853,428,9572,0,225,9382,
854,428,9572,0,225,9382,
855,428,9572,0,225,9382,
856,428,9572,0,225,9382,
857,428,9572,0,225,9382,
858,428,9572,0,225,9382,
859,428,9572,0,225,9382,
860,428,9572,0,225,9382,
861,428,9572,0,225,9382,
862,427,9573,0,225,9383,
863,427,9573,0,225,9383,
864,427,9573,0,225,9383,
865,426,9574,0,226,9383,
866,421,9579,0,227,9387,
867,420,9580,0,228,9387,
868,419,9581,0,229,9387,
869,418,9582,0,229,9388,
870,418,9582,0,229,9388,
871,418,9582,0,229,9388,
872,418,9582,0,229,9388,
873,418,9582,0,229,9388,
874,418,9582,0,229,9388,
875,415,9585,0,229,9391,
876,415,9585,0,229,9391,
877,414,9586,0,229,9392,
878,414,9586,0,229,9392,
879,414,9586,0,229,9392,
880,412,9588,0,230,9393,
